"feature","coefficient"
"(Intercept)",-507249.379217363
"engine8.0L W16 64V GDI DOHC Twin Turbo",270581.637706424
"modelVeyron 16.4 Grand Sport",270580.530127056
"brandBugatti",270578.695076601
"engine605.0HP 5.7L 10 Cylinder Engine Gasoline Fuel",261094.557984282
"modelCarrera GT Base",261094.49613688
"modelQuattroporte Base",166202.41533769
"engine394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel",116195.268206038
"engine759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel",96982.4331259562
"int_col.Charles Blue",96476.8561944173
"modelAventador SVJ Base",94709.3540638814
"transmission.7-Speed",92380.7683642859
"engine6.8L V12 48V GDI DOHC Twin Turbo",81738.7715937896
"modelPhantom",75332.0955963555
"modelViper GTC",74525.1181456138
"engine645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel",74525.0815022053
"engine729.0HP 6.5L 12 Cylinder Engine Gasoline Fuel",69427.6809113408
"modelAventador S Base",69427.1425976232
"int_col.Cobalt Blue",68880.5891621072
"ext_col.Tempest",68880.0454781927
"int_col.Black / Brown",68137.1251525017
"ext_col.China Blue",67025.5182671241
"engine6.8L V12 48V GDI DOHC",65808.9968109746
"modelPhantom Drophead Coupe Drophead",65808.483999389
"engine788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel",65165.0414024791
"model812 Superfast Base",65164.7597378279
"engine6.5L V12 48V MPFI DOHC",62549.0432482274
"engine6.7L V12 48V GDI DOHC Twin Turbo",61154.4522269677
"modelCullinan",61153.3893075875
"engine5.4 Liter SC DOHC",59836.860135526
"modelGT",59836.2485618829
"model911 GT2 RS",59212.1438153734
"ext_col.Balloon White",47911.572996114
"engine6.5L V-12 DOHC, variable valve control, premium unleaded, engine",47909.3310763191
"modelAventador LP750-4 Superveloce",47907.9992591605
"model911 R",45235.4885539751
"engine710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",43908.9126916946
"engine3.8L H6 24V GDI DOHC Twin Turbo",43219.1047195827
"brandRolls-Royce",43178.4993569769
"int_col.Grace White",41832.9217443787
"engine502.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel",39618.2904312756
"int_col.Hotspur",39398.6618476846
"ext_col.C / C",39398.4536906242
"engine660.0HP 3.9L 8 Cylinder Engine Gasoline Fuel",39348.9317453586
"model488 Spider Base",38320.3541952537
"engine5.2L V12 48V GDI DOHC Twin Turbo",37937.0546830203
"model720S Performance",36397.0951165313
"modelHuracan Tecnica Coupe",36007.6945079649
"ext_col.Bianco Monocerus",35999.8307060241
"ext_col.BLU ELEOS",35999.5689030983
"engine4.0L H6 24V GDI DOHC",34152.8557770101
"modelQuattroporte Sport GT",-33950.3817607269
"modelAMG G 63 4MATIC",33517.8112938937
"engine641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",32784.2604503706
"int_col.Giallo Taurus / Nero Ade",32683.3763569667
"ext_col.Bianco Isis",32682.8093359955
"modelAventador LP700-4",32678.7946928039
"brandLamborghini",31962.1144728737
"engine611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel",31523.709684158
"modelRoma Base",31523.4132954418
"int_col.Nero Ade",31385.7209310269
"engine571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel",30628.3103301599
"modelMurcielago Base",30627.7065557337
"int_col.Beluga",29617.8840473194
"engine4.0L V8 32V MPFI DOHC Twin Turbo",28863.2447901338
"modelMartin DBS Superleggera",28848.173923564
"brandFerrari",28216.4358367593
"ext_col.Matte White",28169.3785013008
"engine3.0L V6 24V PDI DOHC Twin Turbo",28168.7515163336
"modelMC20 Base",28168.5670211938
"engine572.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel",28061.7649211492
"int_col.Portland",27554.5701772819
"ext_col.Onyx",27554.2246556307
"modelBentayga Azure First Edition",27552.8255311394
"ext_col.Python Green",27199.6398137876
"ext_col.Diamond White",26608.9901130025
"modelMaybach S 580 4MATIC",26608.4769128619
"engine3.9L V8 32V GDI DOHC Twin Turbo",26602.4227732352
"modelContinental GT V8",26432.1707019977
"engine5.2L V-10 gasoline direct injection, DOHC, variable valve contro",26192.5915761752
"transmission.7-Speed Automatic with Auto-Shift",25984.4400267372
"engine161.0HP 2.0L 4 Cylinder Engine Diesel Fuel",25975.5151815064
"transmission.Manual",25711.9364243782
"int_col.Porpoise",25137.6871167062
"ext_col.Granite",25137.1232149478
"transmission.8-SPEED A/T",25135.3023577774
"modelContinental GT GT Speed",25134.1891115365
"engine12 Cylinder Engine",25133.729800076
"modelUrus Base",25125.7464308948
"engine577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",24571.5453035558
"engine562.0HP 5.2L 10 Cylinder Engine Gasoline Fuel",24569.3567973912
"modelGallardo LP570-4 Superleggera",24568.7824495441
"modelAMG G 63 Base",24118.1895924979
"modelRover Range Rover P530 SE LWB 7 Seat",23893.303815656
"ext_col.Fountain Blue",23434.6739321254
"engine6L W-12 port/direct injection, DOHC, variable valve control, twi",23433.3838331433
"ext_col.Bianco Icarus Metallic",23375.3039210091
"engine473.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel",23036.1289876865
"model911 Carrera 4 GTS",23035.9739937776
"ext_col.Arancio Borealis",22639.2850718801
"modelHuracan EVO Coupe",22636.0401393916
"brandMcLaren",22542.8621075362
"ext_col.–",22527.8070827074
"engine573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel",22459.4582540123
"model911 Turbo S",22393.9103115387
"model911 Turbo",22383.3655143189
"engine500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel",22306.3467785367
"engine4L V-8 gasoline direct injection, DOHC, variable valve control,",22279.0569353132
"modelRover Range Rover Autobiography",22202.1693909599
"transmission.–",22001.3833476819
"model911 GT3",21975.2795669506
"modelRover Range Rover P530 SE SWB",21807.3055414492
"engine624.0HP 6.6L 12 Cylinder Engine Gasoline Fuel",21654.8003963893
"modelWraith Base",21654.2983616849
"int_col.Bianco Polar",21563.2602205337
"ext_col.Grigio Nimbus",21562.6348827318
"modelUrus Pearl Capsule",21560.0685831877
